10000	1	200	
10001	2	300	
10002	3	400	
10003	4	505	
10004	5	615	
10005	6	730	
10006	7	850	
10007	8	975	
10008	9	1105	
10009	10	1240	
10010	11	1380	
10011	12	1525	
10012	13	1675	
10013	14	1830	
10014	15	1990	
10015	16	2155	
10016	17	2325	
10017	18	2500	
10018	19	2680	
10019	20	2865	
10020	21	3055	
10021	22	3250	
10022	23	3450	
10023	24	3655	
10024	25	3865	
10025	26	4080	
10026	27	4300	
10027	28	4525	
10028	29	4755	
10029	30	4990	
10030	31	5230	
10031	32	5475	
10032	33	5725	
10033	34	5980	
10034	35	6240	
10035	36	6505	
10036	37	6775	
10037	38	7050	
10038	39	7330	
10039	40	7615	
10040	41	7905	
10041	42	8200	
10042	43	8500	
10043	44	8805	
10044	45	9115	
10045	46	9430	
10046	47	9750	
10047	48	10075	
10048	49	10405	
10049	50	10740	
10050	51	11080	
10051	52	11425	
10052	53	11775	
10053	54	12130	
10054	55	12490	
10055	56	12855	
10056	57	13225	
10057	58	13600	
10058	59	13980	
10059	60	14365	
10060	61	14755	
10061	62	15150	
10062	63	15550	
10063	64	15955	
10064	65	16365	
10065	66	16780	
10066	67	17200	
10067	68	17625	
10068	69	18055	
10069	70	18490	
10070	71	18930	
10071	72	19375	
10072	73	19825	
10073	74	20280	
10074	75	20740	
10075	76	21205	
10076	77	21675	
10077	78	22150	
10078	79	22630	
10079	80	23115	
10080	81	23605	
10081	82	24100	
10082	83	24600	
10083	84	25105	
10084	85	25615	
10085	86	26130	
10086	87	26650	
10087	88	27175	
10088	89	27705	
10089	90	28240	
10090	91	28780	
10091	92	29325	
10092	93	29875	
10093	94	30430	
10094	95	30990	
10095	96	31555	
10096	97	32125	
10097	98	32700	
10098	99	33280	
